"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,164533,3,"Daylight","Gab"
0.626,0.498,1,-6.535,1,0.388,0.258,6.97e-06,0.17,0.847,179.662,136725,4,"MEXICO","Gab"
0.493,0.607,0,-7.037,1,0.0541,0.637,0,0.0921,0.59,132.213,174387,4,"KEEP IT TO YOURSELF","Gab"
0.392,0.69,11,-3.171,1,0.0782,0.311,0,0.124,0.359,163.865,134747,3,"I WISH I COULD HATE YOU FOR BREAKING ME AND CALLING IT LOVE","Gab"
0.667,0.884,11,-6.304,0,0.0498,0.12,0.234,0.1,0.189,125.023,255520,4,"Sirens","Gab"
0.749,0.892,10,-6.074,0,0.0375,0.247,0.69,0.0257,0.907,124.044,196075,4,"Lose My Mind (feat. Taylor Moody)","Gab"
0.85,0.727,7,-6.27,1,0.272,0.0656,1.15e-05,0.134,0.57,122.013,243959,4,"All of Me","Gab"
0.643,0.85,8,-5.863,1,0.0707,0.103,0.048,0.158,0.428,125.964,126037,4,"Compulsion","Gab"
0.65,0.801,11,-6.642,0,0.0352,0.000111,0.636,0.357,0.193,122.011,292467,4,"W.T.F.","Gab"
0.668,0.89,10,-4.899,0,0.038,0.00887,0.221,0.118,0.392,125.018,264960,4,"Nowhere - Odd Mob Remix","Gab"
0.521,0.821,10,-3.899,0,0.214,0.0978,0.096,0.373,0.249,105.035,168000,4,"Warmth","Gab"
0.401,0.51,11,-6.284,1,0.0785,0.343,0.000225,0.151,0.348,139.888,328631,4,"Take a Chance (feat Little Dragon)","Gab"
0.602,0.837,4,-4.897,0,0.0408,0.111,3.01e-06,0.58,0.357,90.038,218333,4,"All My Friends","Gab"
0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,4,"Miss You","Gab"
0.766,0.653,0,-7.847,1,0.0772,0.00181,3.29e-06,0.309,0.411,160.047,128590,4,"Spooky Shreds","Gab"
0.777,0.734,4,-7.133,0,0.223,0.0396,0.206,0.721,0.437,127.992,176516,4,"Just How I Like It - Club Mix","Gab"
0.851,0.819,7,-5.173,1,0.212,0.337,0.000153,0.0658,0.903,83.154,164041,3,"Down In Atlanta","Gab"
0.487,0.682,7,-4.6,1,0.0527,0.166,0.000634,0.0877,0.356,123.391,197403,4,"Take Your Time - D.O.D Remix","Gab"
0.697,0.588,10,-10.833,0,0.061,0.534,0.000254,0.0692,0.568,125.015,211680,4,"Put Me Together","Gab"
0.774,0.715,4,-7.506,1,0.0898,0.0276,0.113,0.138,0.292,126.016,200952,4,"Deep Youth","Gab"
0.701,0.89,1,-5.459,0,0.0759,0.00623,0.311,0.0795,0.373,129.984,216001,4,"Stay - Tchami Remix","Gab"
0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,202040,4,"Under The Sun (with J. Cole & Lute feat. DaBaby)","Gab"
0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,243187,4,"Hurricane","Gab"
0.778,0.934,9,-3.488,1,0.321,0.184,0,0.123,0.803,98.97,183333,4,"Poke It Out (feat. J. Cole)","Gab"
0.803,0.881,9,-6.482,0,0.163,0.0252,0.0223,0.205,0.387,127.089,221202,4,"Could Heaven Ever Be Like This - Walker & Royce and Chris Lorenzo Remix","Gab"
